"","replication","l_seq","n_seq","motif","p.value","p.value.adj","criterion","nnoi","n.pos05","n.pos001","n.neg05","n.neg001","n.pos.adj05","n.pos.adj001","n.neg.adj05","n.neg.adj001"
"1",1,8,250,"3.1_0",0.000660948730088797,0.0406183037763661,"ig",25,2,0,45,11,0,0,10,5
"2",1,8,250,"1.4_2",0.131826642858467,0.883149311675523,"ig",25,2,0,46,12,0,0,11,5
"3",1,8,250,"4.3_3",0.000380469530768609,0.0285774891999533,"ig",1,0,0,47,11,0,0,10,5
"4",1,8,250,"4.3.1_0.1",2.02788008607513e-10,6.85423469093394e-08,"ig",1,0,0,47,11,0,0,10,4
"5",1,8,250,"3.3.3_2.2",0,0,"ig",1,0,0,47,11,0,0,10,4
"6",1,8,250,"3.1_0",0.000660948730088797,0.0406183037763661,"kl",25,2,0,45,11,0,0,10,5
"7",1,8,250,"1.4_2",0.131826642858467,0.883149311675523,"kl",25,2,0,46,12,0,0,11,5
"8",1,8,250,"4.3_3",0.000380469530768609,0.0285774891999533,"kl",1,0,0,47,11,0,0,10,5
"9",1,8,250,"4.3.1_0.1",2.02788008607513e-10,6.85423469093394e-08,"kl",1,0,0,47,11,0,0,10,4
"10",1,8,250,"3.3.3_2.2",0,0,"kl",1,0,0,47,11,0,0,10,4
"11",1,8,250,"3.1_0",0.000660948730088797,0.0406183037763661,"cs",25,2,0,45,11,0,0,10,5
"12",1,8,250,"1.4_2",0.131826642858467,0.883149311675523,"cs",25,2,0,46,12,0,0,11,5
"13",1,8,250,"4.3_3",0.000380469530768609,0.0285774891999533,"cs",1,0,0,47,11,0,0,10,5
"14",1,8,250,"4.3.1_0.1",2.02788008607513e-10,6.85423469093394e-08,"cs",1,0,0,47,11,0,0,10,4
"15",1,8,250,"3.3.3_2.2",0,0,"cs",1,0,0,47,11,0,0,10,4
"16",1,12,250,"4.1_0",0.356949656840443,1,"ig",25,0,0,7,3,0,0,3,0
"17",1,12,250,"3.2_1",0.0228258040338876,1,"ig",25,0,0,6,3,0,0,3,0
